backend,benchmark_name,completed_at,duration_ms,experiment_group,game,invalid_moves,invalid_players,metrics_context,model,moves,nash_distance,oracle_accuracy_pct,oracle_average_value_gap,oracle_blunders,oracle_perfect_moves,outcome,players,prompt_family,prompt_family_id,prompt_version,record_type,run_id,scores,seed,started_at,trial,trial_id,variant_name,winner
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [14, 55, 31], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team"": {""equilibrium_allocation"": [14, 55, 31], ""l1_distance"": 44, ""normalized_l1_distance"": 0.22}, ""Single Agent"": {""equilibrium_allocation"": [14, 55, 31], ""l1_distance"": 44, ""normalized_l1_distance"": 0.22}}, ""points"": [10, 39, 22], ""scores"": [0, 0]}",mock-deterministic,"{""Parallel Team"": [33, 33, 34], ""Single Agent"": [33, 33, 34]}","{""Parallel Team"": {""equilibrium_allocation"": [14, 55, 31], ""l1_distance"": 44, ""normalized_l1_distance"": 0.22}, ""Single Agent"": {""equilibrium_allocation"": [14, 55, 31], ""l1_distance"": 44, ""normalized_l1_distance"": 0.22}}",,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,"{""Parallel Team"": 0, ""Single Agent"": 0}",3012726539,2026-04-10T21:32:24Z,1,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::blotto::1::3012726539,discrete_blotto_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [3, 4, 5, 6]}",mock-deterministic,,,,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,,2171897193,2026-04-10T21:32:24Z,1,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::connect4::1::2171897193,gravity_grid_standard_v1,Single Agent
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [27, 24, 49], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [27, 24, 49], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}, ""Single Agent"": {""equilibrium_allocation"": [27, 24, 49], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}}, ""points"": [22, 19, 39], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [33, 33, 34], ""Single Agent"": [33, 33, 34]}","{""Hierarchical Team"": {""equilibrium_allocation"": [27, 24, 49], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}, ""Single Agent"": {""equilibrium_allocation"": [27, 24, 49], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}}",,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Single Agent"": 0}",127378619,2026-04-10T21:32:24Z,1,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::blotto::1::127378619,discrete_blotto_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [3, 4, 5, 6]}",mock-deterministic,,,,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,,3963249113,2026-04-10T21:32:24Z,1,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::connect4::1::3963249113,gravity_grid_standard_v1,Single Agent
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [32, 36, 32], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [32, 36, 32], ""l1_distance"": 6, ""normalized_l1_distance"": 0.03}, ""Parallel Team"": {""equilibrium_allocation"": [32, 36, 32], ""l1_distance"": 6, ""normalized_l1_distance"": 0.03}}, ""points"": [28, 32, 28], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [33, 33, 34], ""Parallel Team"": [33, 33, 34]}","{""Hierarchical Team"": {""equilibrium_allocation"": [32, 36, 32], ""l1_distance"": 6, ""normalized_l1_distance"": 0.03}, ""Parallel Team"": {""equilibrium_allocation"": [32, 36, 32], ""l1_distance"": 6, ""normalized_l1_distance"": 0.03}}",,,,,,"[""Parallel Team"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Parallel Team"": 0}",2312534961,2026-04-10T21:32:24Z,1,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::blotto::1::2312534961,discrete_blotto_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [3, 4, 5, 6]}",mock-deterministic,,,,,,,,"[""Parallel Team"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,,1951057160,2026-04-10T21:32:24Z,1,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::connect4::1::1951057160,gravity_grid_standard_v1,Parallel Team
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [44, 18, 38], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team"": {""equilibrium_allocation"": [44, 18, 38], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}, ""Single Agent"": {""equilibrium_allocation"": [44, 18, 38], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}}, ""points"": [29, 12, 25], ""scores"": [0, 0]}",mock-deterministic,"{""Parallel Team"": [33, 33, 34], ""Single Agent"": [33, 33, 34]}","{""Parallel Team"": {""equilibrium_allocation"": [44, 18, 38], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}, ""Single Agent"": {""equilibrium_allocation"": [44, 18, 38], ""l1_distance"": 30, ""normalized_l1_distance"": 0.15}}",,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,"{""Parallel Team"": 0, ""Single Agent"": 0}",3120993731,2026-04-10T21:32:24Z,2,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::blotto::2::3120993731,discrete_blotto_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [3, 4, 5, 6]}",mock-deterministic,,,,,,,,"[""Single Agent"", ""Parallel Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,,488003798,2026-04-10T21:32:24Z,2,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::connect4::2::488003798,gravity_grid_standard_v1,Single Agent
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [14, 47, 39], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team"": {""equilibrium_allocation"": [14, 47, 39], ""l1_distance"": 38, ""normalized_l1_distance"": 0.19}, ""Single Agent"": {""equilibrium_allocation"": [14, 47, 39], ""l1_distance"": 38, ""normalized_l1_distance"": 0.19}}, ""points"": [15, 50, 42], ""scores"": [0, 0]}",mock-deterministic,"{""Hierarchical Team"": [33, 33, 34], ""Single Agent"": [33, 33, 34]}","{""Hierarchical Team"": {""equilibrium_allocation"": [14, 47, 39], ""l1_distance"": 38, ""normalized_l1_distance"": 0.19}, ""Single Agent"": {""equilibrium_allocation"": [14, 47, 39], ""l1_distance"": 38, ""normalized_l1_distance"": 0.19}}",,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,"{""Hierarchical Team"": 0, ""Single Agent"": 0}",4116605794,2026-04-10T21:32:24Z,2,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::blotto::2::4116605794,discrete_blotto_v1,TIE
mock,multi_agent_llm_game_benchmark_mock,2026-04-10T21:32:24Z,0,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [3, 4, 5, 6]}",mock-deterministic,,,,,,,,"[""Single Agent"", ""Hierarchical Team""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_173224_8bf1db5_dirty,,3501346677,2026-04-10T21:32:24Z,2,run_20260410_173224_8bf1db5_dirty::internal_ai_tournament::connect4::2::3501346677,gravity_grid_standard_v1,Single Agent
