backend,benchmark_name,completed_at,duration_ms,experiment_group,game,invalid_moves,invalid_players,metrics_context,model,moves,nash_distance,oracle_accuracy_pct,oracle_average_value_gap,oracle_blunders,oracle_perfect_moves,outcome,players,prompt_family,prompt_family_id,prompt_version,record_type,run_id,scores,seed,started_at,trial,trial_id,variant_name,winner
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:34Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (F16+F16+Q4)""]","{""equilibrium_allocation"": [30, 33, 37], ""invalid_actions"": {""Parallel Team (F16+F16+Q4)"": ""allocation_not_list"", ""Parallel Team (Q4+Q8+F16)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [18, 20, 22], ""scores"": null}",qwen2_5_7b_quantization_subset,"{""Parallel Team (F16+F16+Q4)"": [0, 0, 0], ""Parallel Team (Q4+Q8+F16)"": [0, 0, 0]}","{""Parallel Team (F16+F16+Q4)"": null, ""Parallel Team (Q4+Q8+F16)"": null}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (F16+F16+Q4)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,"{""Parallel Team (F16+F16+Q4)"": 0, ""Parallel Team (Q4+Q8+F16)"": 0}",1766193430,2026-04-11T01:57:34Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::blotto::1::1766193430,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:34Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (F16+F16+Q4)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}]",,"{""invalid_actions"": [], ""turn_count"": 31, ""valid_columns"": [1, 2, 3, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (F16+F16+Q4)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,,1938065180,2026-04-11T01:57:34Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::connect4::1::1938065180,gravity_grid_standard_v1,Parallel Team (Q4+Q8+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:34Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (Q4+Q4+F16)""]","{""equilibrium_allocation"": [44, 26, 30], ""invalid_actions"": {""Parallel Team (Q4+Q4+F16)"": ""allocation_not_list"", ""Parallel Team (Q4+Q8+F16)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [32, 19, 22], ""scores"": null}",qwen2_5_7b_quantization_subset,"{""Parallel Team (Q4+Q4+F16)"": [0, 0, 0], ""Parallel Team (Q4+Q8+F16)"": [0, 0, 0]}","{""Parallel Team (Q4+Q4+F16)"": null, ""Parallel Team (Q4+Q8+F16)"": null}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (Q4+Q4+F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,"{""Parallel Team (Q4+Q4+F16)"": 0, ""Parallel Team (Q4+Q8+F16)"": 0}",958886805,2026-04-11T01:57:34Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::blotto::1::958886805,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:34Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q4+F16)""}]",,"{""invalid_actions"": [], ""turn_count"": 16, ""valid_columns"": [0, 1, 2, 3, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Parallel Team (Q4+Q4+F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,,2546690943,2026-04-11T01:57:34Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::connect4::1::2546690943,gravity_grid_standard_v1,Parallel Team (Q4+Q4+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:34Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q8->F16)""]","{""equilibrium_allocation"": [32, 38, 30], ""invalid_actions"": {""Hierarchical Team (Q4->Q8->F16)"": ""allocation_not_list"", ""Parallel Team (Q4+Q8+F16)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [30, 36, 28], ""scores"": null}",qwen2_5_7b_quantization_subset,"{""Hierarchical Team (Q4->Q8->F16)"": [0, 0, 0], ""Parallel Team (Q4+Q8+F16)"": [0, 0, 0]}","{""Hierarchical Team (Q4->Q8->F16)"": null, ""Parallel Team (Q4+Q8+F16)"": null}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q8->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,"{""Hierarchical Team (Q4->Q8->F16)"": 0, ""Parallel Team (Q4+Q8+F16)"": 0}",23389066,2026-04-11T01:57:34Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::blotto::1::23389066,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:35Z,1000,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q8->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}]",,"{""invalid_actions"": [], ""turn_count"": 21, ""valid_columns"": [0, 1, 3, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q8->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,,3891188348,2026-04-11T01:57:34Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::connect4::1::3891188348,gravity_grid_standard_v1,Parallel Team (Q4+Q8+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:35Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->F16->F16)""]","{""equilibrium_allocation"": [23, 42, 35], ""invalid_actions"": {""Hierarchical Team (Q4->F16->F16)"": ""allocation_not_list"", ""Parallel Team (Q4+Q8+F16)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [23, 41, 34], ""scores"": null}",qwen2_5_7b_quantization_subset,"{""Hierarchical Team (Q4->F16->F16)"": [0, 0, 0], ""Parallel Team (Q4+Q8+F16)"": [0, 0, 0]}","{""Hierarchical Team (Q4->F16->F16)"": null, ""Parallel Team (Q4+Q8+F16)"": null}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->F16->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,"{""Hierarchical Team (Q4->F16->F16)"": 0, ""Parallel Team (Q4+Q8+F16)"": 0}",1619788490,2026-04-11T01:57:35Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::blotto::1::1619788490,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:35Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->F16->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}]",,"{""invalid_actions"": [], ""turn_count"": 19, ""valid_columns"": [0, 1, 2, 3, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->F16->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,,2042160063,2026-04-11T01:57:35Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::connect4::1::2042160063,gravity_grid_standard_v1,Parallel Team (Q4+Q8+F16)
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:35Z,0,internal_ai_tournament,blotto,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q4->F16)""]","{""equilibrium_allocation"": [32, 35, 33], ""invalid_actions"": {""Hierarchical Team (Q4->Q4->F16)"": ""allocation_not_list"", ""Parallel Team (Q4+Q8+F16)"": ""allocation_not_list""}, ""nash_distance"": {}, ""points"": [45, 48, 46], ""scores"": null}",qwen2_5_7b_quantization_subset,"{""Hierarchical Team (Q4->Q4->F16)"": [0, 0, 0], ""Parallel Team (Q4+Q8+F16)"": [0, 0, 0]}","{""Hierarchical Team (Q4->Q4->F16)"": null, ""Parallel Team (Q4+Q8+F16)"": null}",,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q4->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,"{""Hierarchical Team (Q4->Q4->F16)"": 0, ""Parallel Team (Q4+Q8+F16)"": 0}",3282879321,2026-04-11T01:57:35Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::blotto::1::3282879321,discrete_blotto_v1,TIE
ollama,multi_agent_llm_game_benchmark_quantization_subset,2026-04-11T01:57:35Z,0,internal_ai_tournament,connect4,"[{""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}, {""attempted_move"": null, ""player"": ""Parallel Team (Q4+Q8+F16)""}, {""attempted_move"": null, ""player"": ""Hierarchical Team (Q4->Q4->F16)""}]",,"{""invalid_actions"": [], ""turn_count"": 16, ""valid_columns"": [0, 1, 2, 3, 4, 5, 6]}",qwen2_5_7b_quantization_subset,,,,,,,,"[""Parallel Team (Q4+Q8+F16)"", ""Hierarchical Team (Q4->Q4->F16)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215734_032b2a0_dirty,,2643543691,2026-04-11T01:57:35Z,1,run_20260410_215734_032b2a0_dirty::internal_ai_tournament::connect4::1::2643543691,gravity_grid_standard_v1,Hierarchical Team (Q4->Q4->F16)
