backend,benchmark_name,completed_at,duration_ms,experiment_group,game,invalid_moves,invalid_players,metrics_context,model,moves,nash_distance,oracle_accuracy_pct,oracle_average_value_gap,oracle_blunders,oracle_perfect_moves,outcome,players,prompt_family,prompt_family_id,prompt_version,record_type,run_id,scores,seed,started_at,trial,trial_id,variant_name,winner
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:59:18Z,45000,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [39, 29, 32], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team (High+High+Low)"": {""equilibrium_allocation"": [39, 29, 32], ""l1_distance"": 34, ""normalized_l1_distance"": 0.17}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [39, 29, 32], ""l1_distance"": 28, ""normalized_l1_distance"": 0.14}}, ""points"": [49, 36, 40], ""scores"": [40, 85]}",qwen2_5_param_count_subset,"{""Parallel Team (High+High+Low)"": [49, 36, 15], ""Parallel Team (Low+Med+High)"": [25, 30, 45]}","{""Parallel Team (High+High+Low)"": {""equilibrium_allocation"": [39, 29, 32], ""l1_distance"": 34, ""normalized_l1_distance"": 0.17}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [39, 29, 32], ""l1_distance"": 28, ""normalized_l1_distance"": 0.14}}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,"{""Parallel Team (High+High+Low)"": 85, ""Parallel Team (Low+Med+High)"": 40}",743602015,2026-04-11T01:58:33Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::743602015,discrete_blotto_v1,Parallel Team (High+High+Low)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:04:29Z,311000,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 16, ""valid_columns"": [0, 1, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,,3316948868,2026-04-11T01:59:18Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::3316948868,gravity_grid_standard_v1,Parallel Team (High+High+Low)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:05:06Z,37000,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [43, 27, 30], ""invalid_actions"": {}, ""nash_distance"": {""Parallel Team (Low+Low+High)"": {""equilibrium_allocation"": [43, 27, 30], ""l1_distance"": 6, ""normalized_l1_distance"": 0.03}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [43, 27, 30], ""l1_distance"": 34, ""normalized_l1_distance"": 0.17}}, ""points"": [40, 25, 28], ""scores"": [40, 53]}",qwen2_5_param_count_subset,"{""Parallel Team (Low+Low+High)"": [40, 30, 30], ""Parallel Team (Low+Med+High)"": [60, 20, 20]}","{""Parallel Team (Low+Low+High)"": {""equilibrium_allocation"": [43, 27, 30], ""l1_distance"": 6, ""normalized_l1_distance"": 0.03}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [43, 27, 30], ""l1_distance"": 34, ""normalized_l1_distance"": 0.17}}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,"{""Parallel Team (Low+Low+High)"": 53, ""Parallel Team (Low+Med+High)"": 40}",3996016087,2026-04-11T02:04:29Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::3996016087,discrete_blotto_v1,Parallel Team (Low+Low+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:07:56Z,170000,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 14, ""valid_columns"": [0, 1, 2, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,,722103908,2026-04-11T02:05:06Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::722103908,gravity_grid_standard_v1,Parallel Team (Low+Low+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:08:38Z,42000,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [52, 32, 16], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team (Low->Med->High)"": {""equilibrium_allocation"": [52, 32, 16], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [52, 32, 16], ""l1_distance"": 28, ""normalized_l1_distance"": 0.14}}, ""points"": [37, 23, 11], ""scores"": [11, 60]}",qwen2_5_param_count_subset,"{""Hierarchical Team (Low->Med->High)"": [42, 35, 23], ""Parallel Team (Low+Med+High)"": [40, 30, 30]}","{""Hierarchical Team (Low->Med->High)"": {""equilibrium_allocation"": [52, 32, 16], ""l1_distance"": 20, ""normalized_l1_distance"": 0.1}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [52, 32, 16], ""l1_distance"": 28, ""normalized_l1_distance"": 0.14}}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,"{""Hierarchical Team (Low->Med->High)"": 60, ""Parallel Team (Low+Med+High)"": 11}",216001872,2026-04-11T02:07:56Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::216001872,discrete_blotto_v1,Hierarchical Team (Low->Med->High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:13:20Z,282000,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 17, ""valid_columns"": [0, 1, 2, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,,2548335833,2026-04-11T02:08:38Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::2548335833,gravity_grid_standard_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:13:53Z,33000,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [47, 16, 37], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team (Low->High->High)"": {""equilibrium_allocation"": [47, 16, 37], ""l1_distance"": 8, ""normalized_l1_distance"": 0.04}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [47, 16, 37], ""l1_distance"": 22, ""normalized_l1_distance"": 0.11}}, ""points"": [50, 17, 39], ""scores"": [17, 89]}",qwen2_5_param_count_subset,"{""Hierarchical Team (Low->High->High)"": [50, 17, 33], ""Parallel Team (Low+Med+High)"": [48, 26, 26]}","{""Hierarchical Team (Low->High->High)"": {""equilibrium_allocation"": [47, 16, 37], ""l1_distance"": 8, ""normalized_l1_distance"": 0.04}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [47, 16, 37], ""l1_distance"": 22, ""normalized_l1_distance"": 0.11}}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,"{""Hierarchical Team (Low->High->High)"": 89, ""Parallel Team (Low+Med+High)"": 17}",4059760972,2026-04-11T02:13:20Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::4059760972,discrete_blotto_v1,Hierarchical Team (Low->High->High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:17:43Z,230000,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 17, ""valid_columns"": [0, 1, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,,3936739859,2026-04-11T02:13:53Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::3936739859,gravity_grid_standard_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:18:11Z,28000,internal_ai_tournament,blotto,,[],"{""equilibrium_allocation"": [46, 27, 27], ""invalid_actions"": {}, ""nash_distance"": {""Hierarchical Team (Low->Low->High)"": {""equilibrium_allocation"": [46, 27, 27], ""l1_distance"": 12, ""normalized_l1_distance"": 0.06}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [46, 27, 27], ""l1_distance"": 12, ""normalized_l1_distance"": 0.06}}, ""points"": [49, 28, 29], ""scores"": [57, 49]}",qwen2_5_param_count_subset,"{""Hierarchical Team (Low->Low->High)"": [52, 27, 21], ""Parallel Team (Low+Med+High)"": [40, 30, 30]}","{""Hierarchical Team (Low->Low->High)"": {""equilibrium_allocation"": [46, 27, 27], ""l1_distance"": 12, ""normalized_l1_distance"": 0.06}, ""Parallel Team (Low+Med+High)"": {""equilibrium_allocation"": [46, 27, 27], ""l1_distance"": 12, ""normalized_l1_distance"": 0.06}}",,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,"{""Hierarchical Team (Low->Low->High)"": 49, ""Parallel Team (Low+Med+High)"": 57}",2028844489,2026-04-11T02:17:43Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::2028844489,discrete_blotto_v1,Parallel Team (Low+Med+High)
ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:21:26Z,195000,internal_ai_tournament,connect4,[],,"{""invalid_actions"": [], ""turn_count"": 16, ""valid_columns"": [0, 1, 2, 4, 5, 6]}",qwen2_5_param_count_subset,,,,,,,,"[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]",structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,game_outcome,run_20260410_215833_032b2a0_dirty,,326902339,2026-04-11T02:18:11Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::326902339,gravity_grid_standard_v1,Hierarchical Team (Low->Low->High)
